	Knight	Cleric	Sorcerer	Paladin	Archer	Druid
Staff	a	C	C	a	a	F
Sword	F	-	-	F	C	-
Dagger	C	-	F	C	C	a
Axe	C	-	-	a	C	-
Spear	C	-	-	C	a	-
Bow	C	a	a	a	F	a
Mace	a	F	-	C	a	C
Blaster	a	a	a	a	a	a
Shield	C	C	-	C	-	a
Leather	F	C	C	C	C	C
Chain	C	a	-	C	a	-
Plate	a	-	-	a	-	-
Fire	-	-	F	-	C	a
Air	-	-	C	-	F	a
Water	-	-	C	-	a	C
Earth	-	-	C	-	a	F
Spirit	-	C	-	F	-	C
Mind	-	C	-	a	-	a
Body	-	F	-	a	-	C
Light	-	a	a	-	-	-
Dark	-	a	a	-	-	-
IdentifyItem	a	C	C	a	C	C
Merchant	a	a	a	a	a	a
Repair	a	C	C	a	a	C
Bodybuilding	C	a	a	a	a	a
Meditation	-	C	C	a	a	C
Perception	C	a	a	C	C	a
Diplomacy	a	C	C	C	C	a
Thievery	-	-	-	-	-	-
DisarmTraps	C	a	a	C	C	a
Learning	a	a	a	a	a	C
