Name	Id	Radius	Height	Invisible	Untouchable	Temporary	LifetimeInSFT	NoPickup	NoGravity	InterceptAction	Bounce	TrailParticles	TrailFire	TrailLine	SFTGroup	LifeTime	Speed	ParticleR	ParticleG	ParticleB
null	0	16	16	-	-	-	-	-	-	-	-	-	-	-	null	0	0	0	0	0
widget	666	8	6	-	-	x	-	x	-	-	-	-	-	-	key	768	0	0	0	0
long sword	1	64	16	-	-	-	-	-	-	-	-	-	-	-	3LSWORD	0	0	0	0	0
two-handed sword	2	64	16	-	-	-	-	-	-	-	-	-	-	-	32HSWORD	0	0	0	0	0
broadsword	3	64	16	-	-	-	-	-	-	-	-	-	-	-	3BRSWRD	0	0	0	0	0
cutlass	4	64	16	-	-	-	-	-	-	-	-	-	-	-	3CUTLASS	0	0	0	0	0
dagger	5	64	16	-	-	-	-	-	-	-	-	-	-	-	3DAGGER	0	0	0	0	0
long dagger	6	64	16	-	-	-	-	-	-	-	-	-	-	-	3LDAGGER	0	0	0	0	0
axe	7	64	16	-	-	-	-	-	-	-	-	-	-	-	3AXE	0	0	0	0	0
two-handed axe	8	64	16	-	-	-	-	-	-	-	-	-	-	-	32HAXE	0	0	0	0	0
spear	9	64	16	-	-	-	-	-	-	-	-	-	-	-	3SPEAR	0	0	0	0	0
halberd	10	64	16	-	-	-	-	-	-	-	-	-	-	-	3HALBERD	0	0	0	0	0
trident	11	64	16	-	-	-	-	-	-	-	-	-	-	-	3TRIDENT	0	0	0	0	0
long bow	12	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOW	0	0	0	0	0
crossbow	13	64	16	-	-	-	-	-	-	-	-	-	-	-	3CROSBOW	0	0	0	0	0
mace	14	64	16	-	-	-	-	-	-	-	-	-	-	-	3MACE	0	0	0	0	0
war hammer	15	64	16	-	-	-	-	-	-	-	-	-	-	-	3HAMMER	0	0	0	0	0
club	16	64	16	-	-	-	-	-	-	-	-	-	-	-	3CLUB	0	0	0	0	0
staff	17	64	16	-	-	-	-	-	-	-	-	-	-	-	3STAFF	0	0	0	0	0
blaster	18	64	16	-	-	-	-	-	-	-	-	-	-	-	3BLASTER	0	0	0	0	0
blaster rifle	19	64	16	-	-	-	-	-	-	-	-	-	-	-	3BLASTR2	0	0	0	0	0
leather armor	20	64	16	-	-	-	-	-	-	-	-	-	-	-	3LEATHER	0	0	0	0	0
chain mail	21	64	16	-	-	-	-	-	-	-	-	-	-	-	3CHAIN	0	0	0	0	0
plate mail	22	64	16	-	-	-	-	-	-	-	-	-	-	-	3PLATE	0	0	0	0	0
large shield	23	64	16	-	-	-	-	-	-	-	-	-	-	-	3LSHIELD	0	0	0	0	0
small shield	24	64	16	-	-	-	-	-	-	-	-	-	-	-	3SSHIELD	0	0	0	0	0
helm	25	64	16	-	-	-	-	-	-	-	-	-	-	-	3HELM	0	0	0	0	0
hat	26	64	16	-	-	-	-	-	-	-	-	-	-	-	3HAT	0	0	0	0	0
crown	27	64	16	-	-	-	-	-	-	-	-	-	-	-	3CROWN	0	0	0	0	0
belt	28	64	16	-	-	-	-	-	-	-	-	-	-	-	3BELT	0	0	0	0	0
cape	29	64	16	-	-	-	-	-	-	-	-	-	-	-	3CAPE	0	0	0	0	0
gauntlets	30	64	16	-	-	-	-	-	-	-	-	-	-	-	3GNTLET	0	0	0	0	0
boots	31	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOOTS	0	0	0	0	0
ring	32	64	16	-	-	-	-	-	-	-	-	-	-	-	3RING	0	0	0	0	0
amulet	33	64	16	-	-	-	-	-	-	-	-	-	-	-	3AMULET	0	0	0	0	0
wand	34	64	16	-	-	-	-	-	-	-	-	-	-	-	3WAND	0	0	0	0	0
scroll	35	64	16	-	-	-	-	-	-	-	-	-	-	-	3SCROLL	0	0	0	0	0
bottle	37	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOTL02	0	0	0	0	0
bottle	38	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOTL03	0	0	0	0	0
bottle	39	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOTL04	0	0	0	0	0
bottle	40	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOTL05	0	0	0	0	0
bottle	41	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOTL06	0	0	0	0	0
bottle	42	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOTL07	0	0	0	0	0
bottle	43	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOTL08	0	0	0	0	0
bottle	44	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOTL09	0	0	0	0	0
bottle	45	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOTL10	0	0	0	0	0
key	67	64	16	-	-	-	-	-	-	-	-	-	-	-	3KEY	0	0	0	0	0
keyring	68	64	16	-	-	-	-	-	-	-	-	-	-	-	3KEYRING	0	0	0	0	0
leather pouch	69	64	16	-	-	-	-	-	-	-	-	-	-	-	3POUCH	0	0	0	0	0
book	70	64	16	-	-	-	-	-	-	-	-	-	-	-	3BOOK	0	0	0	0	0
hourglass	71	64	16	-	-	-	-	-	-	-	-	-	-	-	3HRGLASS	0	0	0	0	0
