Id	Type	SFTGroup
1020	0	over01
1040	0	over03
2000	0	over03
2020	0	over01
2040	0	over01
2050	0	over01
2070	0	over03
2090	0	over03
3000	0	over02
3020	0	over01
3040	0	over03
4020	0	over01
4040	0	over01
4060	0	over02
5010	0	over03
5020	0	over02
5030	0	over03
5040	0	over02
5060	0	over03
5080	0	over02
5090	0	over02
5100	0	over02
6000	0	over02
6010	0	over02
6030	0	over03
6040	0	over02
6080	0	over02
6100	0	over03
7000	0	over02
7010	0	over02
7020	0	over01
7040	0	over02
7050	0	over02
7060	0	over03
7070	0	over02
7080	0	over03
7100	0	over02
8050	0	over03
8060	0	null
8070	0	over03
8100	0	over03
9000	0	over03
9100	0	over03
900	0	splat01
901	0	splat02
902	0	splat03
903	0	splat04
904	0	splat05
905	0	splat05
906	0	splat05
907	0	splat05
908	0	SPLAT07
909	0	splat06
10000	0	c1_bless
10001	0	c2_hero
10002	0	c3_haste
10003	0	C4_SHILD
10004	0	C5_SSKIN
10005	0	WATWALK1
10006	0	turnmode
10007	0	guardang
10008	0	fly1
10012	0	i5_poisn
10009	0	i2_fire
10010	0	i3_ltng
10011	0	i4_cold
10013	0	i1_fall
10014	0	i6_magic
10015	0	wizeye
10	0	aframe1
20	0	over01
22	0	over02
24	0	over03
11000	0	dm01
11010	0	dm01
11020	0	dm01
11030	0	dm01
11040	0	dm04
11050	0	dm02
11060	0	dm02
11070	0	dm02
11080	0	dm02
11090	0	dm02
11100	0	dm02
11110	0	dm04
11120	0	dm04
11130	0	over04
11140	0	over04
11150	0	over04
11160	0	dm03
11170	0	dm03
11180	0	dm03
11190	0	dm03
11200	0	over05
11210	0	over05
11220	0	dm01
