GroupId	FrameIndex	Time	GroupStart
0	1	8	x
1	1	8	x
2	2	8	x
3	3	8	x
4	4	8	x
5	5	8	x
6	6	8	x
7	7	8	x
8	8	8	x
9	8	8	x
10	10	8	x
11	11	8	x
12	12	8	x
13	13	2	x
14	14	8	x
15	15	8	x
16	16	8	x
17	17	8	x
18	18	8	x
19	19	8	x
20	20	8	x
21	21	1	x
22	22	1	x
23	23	1	x
24	24	1	x
25	25	4	x
0	26	4	-
0	25	4	-
0	26	4	-
27	1	2	x
0	28	4	-
0	1	2	-
0	27	4	-
27	1	2	-
0	28	4	-
0	1	2	-
0	27	4	-
0	1	2	-
29	29	8	x
30	30	8	x
31	31	8	x
32	32	8	x
33	33	8	x
34	34	8	x
35	35	8	x
36	36	8	x
37	37	16	x
38	38	16	x
39	39	16	x
40	40	16	x
41	41	16	x
42	42	16	x
43	43	16	x
44	44	16	x
45	45	16	x
46	46	8	x
47	47	16	x
48	48	16	x
49	49	16	x
50	50	16	x
51	51	16	x
52	52	16	x
53	53	8	x
54	21	8	x
55	22	8	x
56	23	8	x
57	24	8	x
