Name	Id	Type
	0	system
campfire	4	0
enter	6	system
wooddrclose	7	system
fireBall	8	system
fountain	10	0
boat	18	0
ClickIn	19	system
ClickMinus	20	system
ClickMovingSelector	21	system
ClickOut	22	system
ClickPlus	23	system
ClickSkill	24	system
ClickStart	25	system
pending	26	system
Error	27	system
hit with arrow01l	28	system
metal vs leather03h	44	system
metal vs metal01l	45	system
metal vs metal03h	47	system
	48	system
RunBadlands	49	0
RunCarpet	50	0
RunCooledLava	51	0
RunDesert	52	0
RunDirt	53	0
RunGrass	54	0
RunIce	55	0
RunMud	56	0
RunRoad	57	0
RunSnow	58	0
RunStone	59	0
RunStoneHall	60	0
RunSwamp	61	0
RunWater	62	0
RunWaterIndoor	63	0
RunWood	64	0
RunWoodPlanking	65	0
SelectingANewCharacter	66	system
shoot blaster01	67	system
shoot bow01	71	system
StartMainChoice01	74	system
StartMainChoice02	75	system
StartMainChoice03	76	system
StartMainChoice04	77	system
swing with axe01	78	system
swing with axe03	80	system
swing with blunt weapon01	81	system
swing with blunt weapon03	83	system
swing with sword01	84	system
swing with sword02	85	system
ViewingANewCharacter	87	system
WalkBadlands	88	0
WalkCarpet	89	0
WalkCooledLava	90	0
WalkDesert	91	0
WalkDirt	92	0
WalkGrass	93	0
WalkIce	94	0
WalkMud	95	0
WalkRoad	96	0
WalkSnow	97	0
WalkStone	98	0
WalkStoneHall	99	0
WalkSwamp	100	0
WalkWater	101	0
WalkWaterIndoor	102	0
WalkWood	103	0
WalkWoodPlanking	104	0
wood vs metal01l	105	system
wood vs metal02m	106	system
wood vs metal03h	107	system
wood weapon vs leather01l	108	system
wood weapon vs leather02m	109	system
wood weapon vs leather03h	110	system
gold01	200	system
tip	201	swap
heal	202	swap
fizzle	203	swap
TurnPageU	204	swap
TurnPageD	205	swap
batlleen	206	system
batllest	207	system
openchest0101	208	swap
spellfail0201	209	system
drink	210	swap
eat	211	swap
pickup	212	swap
fixit	213	swap
mixpotion	214	swap
gong	215	swap
flute	216	swap
harp	217	swap
church	218	swap
chimes	219	swap
splash	220	swap
